#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;Extra1;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;==========;==========;X
#AI.txt;;;;;;;;;;;X
EVT_2400151_NAME;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;;;X
EVT_997_NAME;Indochina Campaign;Indochina Campaign;Indochina Campaign;Indochina Campaign;Indochina Campaign;Indochina Campaign;Indochina Campaign;Indochina Campaign;;;X
EVT_997_DESC;The Japanese presense in French Indochina made it an obvious war target for the Allied forces at war with Japan. The initial bombings of Indochina eventually escalated into an outright invasion, forcing the local French garrisons to respond.;The Japanese presense in French Indochina made it an obvious war target for the Allied forces at war with Japan. The initial bombings of Indochina eventually escalated into an outright invasion, forcing the local French garrisons to respond.;The Japanese presense in French Indochina made it an obvious war target for the Allied forces at war with Japan. The initial bombings of Indochina eventually escalated into an outright invasion, forcing the local French garrisons to respond.;The Japanese presense in French Indochina made it an obvious war target for the Allied forces at war with Japan. The initial bombings of Indochina eventually escalated into an outright invasion, forcing the local French garrisons to respond.;The Japanese presense in French Indochina made it an obvious war target for the Allied forces at war with Japan. The initial bombings of Indochina eventually escalated into an outright invasion, forcing the local French garrisons to respond.;The Japanese presense in French Indochina made it an obvious war target for the Allied forces at war with Japan. The initial bombings of Indochina eventually escalated into an outright invasion, forcing the local French garrisons to respond.;The Japanese presense in French Indochina made it an obvious war target for the Allied forces at war with Japan. The initial bombings of Indochina eventually escalated into an outright invasion, forcing the local French garrisons to respond.;The Japanese presense in French Indochina made it an obvious war target for the Allied forces at war with Japan. The initial bombings of Indochina eventually escalated into an outright invasion, forcing the local French garrisons to respond.;;;X
EVT_2002080_NAME;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;;;X
EVT_2002080_DESC;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;;;X
EVT_2002080_ACTA;Demand access to Syria;Demand access to Syria;Demand access to Syria;Demand access to Syria;Demand access to Syria;Demand access to Syria;Demand access to Syria;Demand access to Syria;;;X
EVT_2002081_NAME;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;;;X
EVT_2002081_DESC;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;;;X
EVT_2002082_NAME;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;German Access to Syria;;;X
EVT_2002082_DESC;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War.;;;X
EVT_2002083_NAME;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;;;X
EVT_2002083_DESC;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;;;X
EVT_2002083_ACTA;Punish them!;Punish them!;Punish them!;Punish them!;Punish them!;Punish them!;Punish them!;Punish them!;;;X
EVT_2002083_ACTB;That crosses the line, we need to end Vichy NOW!;That crosses the line, we need to end Vichy NOW!;That crosses the line, we need to end Vichy NOW!;That crosses the line, we need to end Vichy NOW!;That crosses the line, we need to end Vichy NOW!;That crosses the line, we need to end Vichy NOW!;That crosses the line, we need to end Vichy NOW!;That crosses the line, we need to end Vichy NOW!;;;X
EVT_2002084_NAME;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;;;X
EVT_2002084_DESC;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later.;;;X
EVT_2002085_NAME;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;;;X
EVT_2002085_DESC;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later. We can provide indirect assistance to the French, or we can insist that the French give us direct control over all forces in the Levant. Both Darlan and Dentz already made clear that they would not approve of the latter, and if we force the issue, they will likely withdraw most non-colonial troops from the region in order not to provoke a full-scale war with the British.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later. We can provide indirect assistance to the French, or we can insist that the French give us direct control over all forces in the Levant. Both Darlan and Dentz already made clear that they would not approve of the latter, and if we force the issue, they will likely withdraw most non-colonial troops from the region in order not to provoke a full-scale war with the British.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later. We can provide indirect assistance to the French, or we can insist that the French give us direct control over all forces in the Levant. Both Darlan and Dentz already made clear that they would not approve of the latter, and if we force the issue, they will likely withdraw most non-colonial troops from the region in order not to provoke a full-scale war with the British.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later. We can provide indirect assistance to the French, or we can insist that the French give us direct control over all forces in the Levant. Both Darlan and Dentz already made clear that they would not approve of the latter, and if we force the issue, they will likely withdraw most non-colonial troops from the region in order not to provoke a full-scale war with the British.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later. We can provide indirect assistance to the French, or we can insist that the French give us direct control over all forces in the Levant. Both Darlan and Dentz already made clear that they would not approve of the latter, and if we force the issue, they will likely withdraw most non-colonial troops from the region in order not to provoke a full-scale war with the British.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later. We can provide indirect assistance to the French, or we can insist that the French give us direct control over all forces in the Levant. Both Darlan and Dentz already made clear that they would not approve of the latter, and if we force the issue, they will likely withdraw most non-colonial troops from the region in order not to provoke a full-scale war with the British.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later. We can provide indirect assistance to the French, or we can insist that the French give us direct control over all forces in the Levant. Both Darlan and Dentz already made clear that they would not approve of the latter, and if we force the issue, they will likely withdraw most non-colonial troops from the region in order not to provoke a full-scale war with the British.;Within weeks, Axis air operations in Syria were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon two weeks later. We can provide indirect assistance to the French, or we can insist that the French give us direct control over all forces in the Levant. Both Darlan and Dentz already made clear that they would not approve of the latter, and if we force the issue, they will likely withdraw most non-colonial troops from the region in order not to provoke a full-scale war with the British.;;;X
EVT_2002085_ACTA;Let the French handle this;Let the French handle this;Let the French handle this;Let the French handle this;Let the French handle this;Let the French handle this;Let the French handle this;Let the French handle this;;;X
EVT_2002085_ACTB;Take direct control;Take direct control;Take direct control;Take direct control;Take direct control;Take direct control;Take direct control;Take direct control;;;X
EVT_2002086_NAME;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;The Levant Campaign;;;X
EVT_2002086_DESC;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;On 28 May 1941, Admiral Darlan, on behalf of Vichy France, signed the Paris Protocols, an agreement which granted Germany access to military facilities in Vichy-controlled Syria. The protocols remained unratified, but Charles Huntziger, the Vichy Minister of War, sent orders to allow German and Italian aircraft to refuel in Syria. Marked as Iraqi aircraft, Axis aircraft landed in Syria en route to the Kingdom of Iraq during the Anglo-Iraqi War. Within weeks, these air operations were spotted by the British reconnaissance aircraft, which led to the UK immediately authorizing the bombing of the Air bases in Syria, followed by a full scale invasion of Syria and Lebanon a two weeks later.;;;X
EVT_2002088_NAME;The Levant Campaign - victory;The Levant Campaign - victory;The Levant Campaign - victory;The Levant Campaign - victory;The Levant Campaign - victory;The Levant Campaign - victory;The Levant Campaign - victory;The Levant Campaign - victory;;;X
