;ENG;FRA;ITA;SPA;GER;POL;RUS;RUS;;;X;
PROV981;Dakar;Dakar;Dakar;Dakar;Dakar;Dakar;Dakar;Дакар;;;X;
PROV982;Bathurst;Bathurst;Bathurst;Bathurst;Bathurst;Bathurst;Bathurst;Батхерст;;;X;
PROV983;Bissau;Bissau;Bissau;Bissau;Bissau;Bissau;Bissau;Биссау;;;X;
PROV984;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;Ziguinchor;Зигунхор;;;X;
PROV985;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;Кайес;;;X;
PROV986;Sйgou;Sйgou;Sйgou;Sйgou;Sйgou;Sйgou;Sйgou;Сегу;;;X;
PROV987;Conakry;Conakry;Conakry;Conakry;Conakry;Conakry;Conakry;Конакри;;;X;
PROV988;Freetown;Freetown;Freetown;Freetown;Freetown;Freetown;Freetown;Фритаун;;;X;
PROV989;Friedrichshafen;Friedrichshafen;Friedrichshafen;Friedrichshafen;Friedrichshafen;Friedrichshafen;Friedrichshafen;Фридриксхафен;;;X;
PROV990;Labй;Labй;Labй;Labй;Labй;Labй;Labй;Лабе;;;X;
PROV991;Kankan;Kankan;Kankan;Kankan;Kankan;Kankan;Kankan;Канкан;;;X;
PROV992;Monrovia;Monrovia;Monrovia;Monrovia;Monrovia;Monrovia;Monrovia;Монровия;;;X;
PROV993;Abidjan;Abidjan;Abidjan;Abidjan;Abidjan;Abidjan;Abidjan;Абиджан;;;X;
PROV994;Bamako;Bamako;Bamako;Bamako;Bamako;Bamako;Bamako;Бамако;;;X;
PROV995;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Ямусукро;;;X;
PROV996;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Bobo-Dioulasso;Бобо Диулассо;;;X;
PROV997;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Ouagadougou;Уагадугу;;;X;
PROV998;Say;Say;Say;Say;Say;Say;Say;Сау;;;X;
PROV999;Sokoto;Sokoto;Sokoto;Sokoto;Sokoto;Sokoto;Sokoto;Сокото;;;X;
PROV1000;Tamale;Tamale;Tamale;Tamale;Tamale;Tamale;Tamale;Тамале;;;X;
PROV1001;Ho;Ho;Ho;Ho;Ho;Ho;Ho;Хо;;;X;
PROV1002;Accra;Accra;Accra;Accra;Accra;Accra;Accra;Аккра;;;X;
PROV1003;Lomй;Lomй;Lomй;Lomй;Lomй;Lomй;Lomй;Ломе;;;X;
PROV1004;Sokode;Sokode;Sokode;Sokode;Sokode;Sokode;Sokode;Сокоде;;;X;
PROV1005;Natitingou;Natitingou;Natitingou;Natitingou;Natitingou;Natitingou;Natitingou;Натитингу;;;X;
PROV1006;Cotonou;Cotonou;Cotonou;Cotonou;Cotonou;Cotonou;Cotonou;Котону;;;X;
PROV1007;Kaduna;Kaduna;Kaduna;Kaduna;Kaduna;Kaduna;Kaduna;Кадуна;;;X;
PROV1008;Lagos;Lagos;Lagos;Lagos;Lagos;Lagos;Lagos;Лагос;;;X;
PROV1009;Kano;Kano;Kano;Kano;Kano;Kano;Kano;Кано;;;X;
PROV1010;Abuja;Abuja;Abuja;Abuja;Abuja;Abuja;Abuja;Абуджа;;;X;
PROV1011;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Port Harcourt;Порт Харкорт;;;X;
PROV1012;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;Katsina-Ala;Катсина Ала;;;X;
PROV1013;Fort Laperrine;Fort Laperrine;Fort Laperrine;Fort Laperrine;Fort Laperrine;Fort Laperrine;Fort Laperrine;Форт Лаперрин;;;X;
PROV1014;Karlsruhe;Karlsruhe;Karlsruhe;Karlsruhe;Karlsruhe;Karlsruhe;Karlsruhe;Карлсруэ;;;X;
PROV1015;Mainz;Mainz;Mainz;Mainz;Mainz;Mainz;Mainz;Майнц;;;X;
PROV1016;Koblenz;Koblenz;Koblenz;Koblenz;Koblenz;Koblenz;Koblenz;Кобленц;;;X;
PROV1017;al-Gauf;al-Gauf;al-Gauf;al-Gauf;al-Gauf;al-Gauf;al-Gauf;Эль Гауф;;;X;
PROV1018;Trier;Trier;Trier;Trier;Trier;Trier;Trier;Трир;;;X;
PROV1019;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Nijmegen;Неймеген;;;X;
PROV1020;Abu Sahara;Abu Sahara;Abu Sahara;Abu Sahara;Abu Sahara;Abu Sahara;Abu Sahara;Абу Сахара;;;X;
PROV1021;al-Farafra;al-Farafra;al-Farafra;al-Farafra;al-Farafra;al-Farafra;al-Farafra;Аль Фарафра;;;X;
PROV1022;Nancy;Nancy;Nancy;Nancy;Nancy;Nancy;Nancy;Нанси;;;X;
PROV1023;al-Minya;al-Minya;al-Minya;al-Minya;al-Minya;al-Minya;al-Minya;Аль Минья;;;X;
PROV1024;Asyut;Asyut;Asyut;Asyut;Asyut;Asyut;Asyut;Асьют;;;X;
PROV1025;al-Uqsur;al-Uqsur;al-Uqsur;al-Uqsur;al-Uqsur;al-Uqsur;al-Uqsur;Уксур;;;X;
PROV1026;Aswan;Aswan;Aswan;Aswan;Aswan;Aswan;Aswan;Ассуан;;;X;
PROV1027;al-Hariga;Al-Kharga;Al-Kharga;Al-Kharga;Al-Kharga;Al-Kharga;al-Hariga;Аль Харига;;;X;
PROV1028;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Wadi Halfa;Вади Халфа;;;X;
PROV1029;Dunqula;Dunqula;Dunqula;Dunqula;Dunqula;Dunqula;Dunqula;Дункула;;;X;
PROV1030;Bur Sudan;Bur Sudan;Bur Sudan;Bur Sudan;Bur Sudan;Bur Sudan;Bur Sudan;Бур Судан;;;X;
PROV1031;Kassala;Kassala;Kassala;Kassala;Kassala;Kassala;Kassala;Кассала;;;X;
PROV1032;Umm Durman;Umm Durman;Umm Durman;Umm Durman;Umm Durman;Umm Durman;Umm Durman;Умм Дурман;;;X;
PROV1033;Mussuwa';Mussuwa';Mussuwa';Mussuwa';Mussuwa';Mussuwa';Mussuwa';Массауа;;;X;
PROV1034;Tarfaya;Tarfaya;Tarfaya;Tarfaya;Tarfaya;Tarfaya;Tarfaya;Тарфая;;;X;
PROV1035;Hargaysa;Hargaysa;Hargaysa;Hargaysa;Hargaysa;Hargaysa;Hargaysa;Харгейсе;;;X;
PROV1036;Funchal;Funchal;Funchal;Funchal;Funchal;Funchal;Funchal;Фанчел;;;X;
PROV1037;Gibuti;Gibuti;Gibuti;Gibuti;Gibuti;Gibuti;Gibuti;Джибути;;;X;
PROV1038;Asab';Asab';Asab';Asab';Asab';Asab';Asab';Ассаб;;;X;
PROV1039;Asmara;Asmara;Asmara;Asmara;Asmara;Asmara;Asmara;Асмара;;;X;
PROV1040;al-Qadarif;al-Qadarif;al-Qadarif;al-Qadarif;al-Qadarif;al-Qadarif;al-Qadarif;Аль Кадариф;;;X;
PROV1041;Sannar;Sannar;Sannar;Sannar;Sannar;Sannar;Sannar;Саннар;;;X;
PROV1042;Bahir Dar;Bahir Dar;Bahir Dar;Bahir Dar;Bahir Dar;Bahir Dar;Bahir Dar;Бахир Дар;;;X;
PROV1043;Gonder;Gonder;Gonder;Gonder;Gonder;Gonder;Gonder;Гондер;;;X;
PROV1044;Dessie;Dessie;Dessie;Dessie;Dessie;Dessie;Dessie;Дессе;;;X;
PROV1045;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;Jimma;Джимма;;;X;
PROV1046;Addis Abдba;Addis Abдba;Addis Abдba;Addis Abдba;Addis Abдba;Addis Abдba;Addis Abдba;Аддис Абеба;;;X;
PROV1047;Bussa;Bussa;Bussa;Bussa;Bussa;Bussa;Bussa;Бусса;;;X;
PROV1048;Mek'ele;Mek'ele;Mek'ele;Mek'ele;Mek'ele;Mek'ele;Mek'ele;Меккеле;;;X;
PROV1049;Abala;Abala;Abala;Abala;Abala;Abala;Abala;Адала;;;X;
PROV1050;Dire Dabbe;Dire Dabbe;Dire Dabbe;Dire Dabbe;Dire Dabbe;Dire Dabbe;Dire Dabbe;Дире Давва;;;X;
PROV1051;Harar;Harar;Harar;Harar;Harar;Harar;Harar;Харар;;;X;
PROV1052;Dilla;Dilla;Dilla;Dilla;Dilla;Dilla;Dilla;Дилла;;;X;
PROV1053;Dooloow;Dooloow;Dooloow;Dooloow;Dooloow;Dooloow;Dooloow;Дулу;;;X;
PROV1054;Kelafo;Kelafo;Kelafo;Kelafo;Kelafo;Kelafo;Kelafo;Келафо;;;X;
PROV1055;Baydhabo;Baydhabo;Baydhabo;Baydhabo;Baydhabo;Baydhabo;Baydhabo;Байдхабо;;;X;
PROV1056;Muqdisho;Muqdisho;Muqdisho;Muqdisho;Muqdisho;Muqdisho;Muqdisho;Могадишо;;;X;
PROV1057;Zajecar;Zajecar;Zajecar;Zajecar;Zajecar;Zajecar;Zajecar;Заекар;;;X;
PROV1058;Kismaayo;Kismaayo;Kismaayo;Kismaayo;Kismaayo;Kismaayo;Kismaayo;Кисмайо;;;X;
PROV1059;Nakuru;Nakuru;Nakuru;Nakuru;Nakuru;Nakuru;Nakuru;Накуру;;;X;
PROV1060;Nairobi;Nairobi;Nairobi;Nairobi;Nairobi;Nairobi;Nairobi;Найроби;;;X;
PROV1061;Mombasa;Mombasa;Mombasa;Mombasa;Mombasa;Mombasa;Mombasa;Момбаса;;;X;
PROV1062;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Мванза;;;X;
PROV1063;Kigali;Kigali;Kigali;Kigali;Kigali;Kigali;Kigali;Кигали;;;X;
PROV1064;Kampala;Kampala;Kampala;Kampala;Kampala;Kampala;Kampala;Кампала;;;X;
PROV1065;Guba;Guba;Guba;Guba;Guba;Guba;Guba;Губа;;;X;
PROV1066;al-Hartum;al-Hartum;al-Hartum;al-Hartum;al-Hartum;al-Hartum;al-Hartum;Хартум;;;X;
PROV1067;al-Ubayyid;al-Ubayyid;al-Ubayyid;al-Ubayyid;al-Ubayyid;al-Ubayyid;al-Ubayyid;Эль Убейд;;;X;
PROV1068;Niyala;Niyala;Niyala;Niyala;Niyala;Niyala;Niyala;Ньяла;;;X;
PROV1069;Waw;Waw;Waw;Waw;Waw;Waw;Waw;Вау;;;X;
PROV1070;Bambari;Bambari;Bambari;Bambari;Bambari;Bambari;Bambari;Бамбари;;;X;
PROV1071;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Stanleyville;Стенливилль;;;X;
PROV1072;Bondo;Bondo;Bondo;Bondo;Bondo;Bondo;Bondo;Бондо;;;X;
PROV1073;Costermansville;Costermansville;Costermansville;Costermansville;Costermansville;Costermansville;Costermansville;Костермансвилль;;;X;
PROV1074;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;Coquilhatville;Кокилхатвилль;;;X;
PROV1075;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Brazzaville;Браззавилль;;;X;
PROV1076;Ouйsso;Ouйsso;Ouйsso;Ouйsso;Ouйsso;Ouйsso;Ouйsso;Ойесо;;;X;
PROV1077;Ebolowa;Ebolowa;Ebolowa;Ebolowa;Ebolowa;Ebolowa;Ebolowa;Эболове;;;X;
PROV1078;Bangui;Bangui;Bangui;Bangui;Bangui;Bangui;Bangui;Банги;;;X;
PROV1079;Moundou;Moundou;Moundou;Moundou;Moundou;Moundou;Moundou;Моунду;;;X;
PROV1080;Fort-Lamy;Fort-Lamy;Fort-Lamy;Fort-Lamy;Fort-Lamy;Fort-Lamy;Fort-Lamy;Форт Лами;;;X;
PROV1081;Largeau;Largeau;Largeau;Largeau;Largeau;Largeau;Largeau;Ларж;;;X;
PROV1082;Maastricht;Maastricht;Maastricht;Maastricht;Maastricht;Maastricht;Maastricht;Маастрихт;;;X;
PROV1083;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;Зиндер;;;X;
PROV1084;Niamey;Niamey;Niamey;Niamey;Niamey;Niamey;Niamey;Ниамей;;;X;
PROV1085;Ibadan;Ibadan;Ibadan;Ibadan;Ibadan;Ibadan;Ibadan;Ибадан;;;X;
PROV1086;Maroua;Maroua;Maroua;Maroua;Maroua;Maroua;Maroua;Маруа;;;X;
PROV1087;Ngaoundйrй;Ngaoundйrй;Ngaoundйrй;Ngaoundйrй;Ngaoundйrй;Ngaoundйrй;Ngaoundйrй;Нгаундере;;;X;
PROV1088;Bertoua;Bertoua;Bertoua;Bertoua;Bertoua;Bertoua;Bertoua;Бертоа;;;X;
PROV1089;Douala;Douala;Douala;Douala;Douala;Douala;Douala;Дуала;;;X;
PROV1090;Sгo Tomй;Sгo Tomй;Sгo Tomй;Sгo Tomй;Sгo Tomй;Sгo Tomй;Sгo Tomй;Сан Томе;;;X;
PROV1091;Bata;Bata;Bata;Bata;Bata;Bata;Bata;Бата;;;X;
PROV1092;Franceville;Franceville;Franceville;Franceville;Franceville;Franceville;Franceville;Франсвилль;;;X;
PROV1093;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Либревилль;;;X;
PROV1094;Cabinda;Cabinda;Cabinda;Cabinda;Cabinda;Cabinda;Cabinda;Кабинда;;;X;
PROV1095;Boma;Boma;Boma;Boma;Boma;Boma;Boma;Бома;;;X;
PROV1096;Luanda;Luanda;Luanda;Luanda;Luanda;Luanda;Luanda;Луанда;;;X;
PROV1097;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Henrique de Carvalho;Энрике де Карвальо;;;X;
PROV1098;Lйopoldville;Lйopoldville;Lйopoldville;Lйopoldville;Lйopoldville;Lйopoldville;Lйopoldville;Леопольдвилль;;;X;
PROV1099;Livingstone;Livingstone;Livingstone;Livingstone;Livingstone;Livingstone;Livingstone;Ливингстон;;;X;
PROV1100;Nova Lisboa;Nova Lisboa;Nova Lisboa;Nova Lisboa;Nova Lisboa;Nova Lisboa;Nova Lisboa;Нова Лисбоа;;;X;
PROV1101;Lobito;Lobito;Lobito;Lobito;Lobito;Lobito;Lobito;Лобито;;;X;
PROV1102;Moзвmedes;Moзвmedes;Moзвmedes;Moзвmedes;Moзвmedes;Moзвmedes;Moзвmedes;Мобмедес;;;X;
PROV1103;Sa da Bandeira;Sa da Bandeira;Sa da Bandeira;Sa da Bandeira;Sa da Bandeira;Sa da Bandeira;Sa da Bandeira;Са да Бандейра;;;X;
PROV1104;Sioma;Sioma;Sioma;Sioma;Sioma;Sioma;Sioma;Сиома;;;X;
PROV1105;Maun;Maun;Maun;Maun;Maun;Maun;Maun;Маун;;;X;
PROV1106;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;Katima Mulilo;Катима Мулило;;;X;
PROV1107;Rundu;Rundu;Rundu;Rundu;Rundu;Rundu;Rundu;Рунду;;;X;
PROV1108;Otjiwarongo;Otjiwarongo;Otjiwarongo;Otjiwarongo;Otjiwarongo;Otjiwarongo;Otjiwarongo;Отьиваронго;;;X;
PROV1109;Lьderitz;Lьderitz;Lьderitz;Lьderitz;Lьderitz;Lьderitz;Lьderitz;Ледериц;;;X;
PROV1110;Windhoek;Windhoek;Windhoek;Windhoek;Windhoek;Windhoek;Windhoek;Виндхук;;;X;
PROV1111;Francistown;Francistown;Francistown;Francistown;Francistown;Francistown;Francistown;Франсистаун;;;X;
PROV1112;Gaberones;Gaberones;Gaberones;Gaberones;Gaberones;Gaberones;Gaberones;Габороне;;;X;
PROV1113;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Кимберли;;;X;
PROV1114;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;Bloemfontein;Блумфонтейн;;;X;
PROV1115;De Aar;De Aar;De Aar;De Aar;De Aar;De Aar;De Aar;Де Аар;;;X;
PROV1116;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Кейптаун;;;X;
PROV1117;Port Elizabeth;Port Elizabeth;Port Elizabeth;Port Elizabeth;Port Elizabeth;Port Elizabeth;Port Elizabeth;Порт Элизабет;;;X;
PROV1118;Durban;Durban;Durban;Durban;Durban;Durban;Durban;Дурбан;;;X;
PROV1119;Pretoria;Pretoria;Pretoria;Pretoria;Pretoria;Pretoria;Pretoria;Претория;;;X;
PROV1120;Johannesburg;Johannesburg;Johannesburg;Johannesburg;Johannesburg;Johannesburg;Johannesburg;Йоханесбург;;;X;
PROV1121;Tiznit;Tiznit;Tiznit;Tiznit;Tiznit;Tiznit;Tiznit;Тизнит;;;X;
PROV1122;Lourenзo Marques;Lourenзo Marques;Lourenзo Marques;Lourenзo Marques;Lourenзo Marques;Lourenзo Marques;Lourenзo Marques;Лоренсу Маркеш;;;X;
PROV1123;Maxixe;Maxixe;Maxixe;Maxixe;Maxixe;Maxixe;Maxixe;Махихе;;;X;
PROV1124;Bulawayo;Bulawayo;Bulawayo;Bulawayo;Bulawayo;Bulawayo;Bulawayo;Булавайо;;;X;
PROV1125;Salisbury;Salisbury;Salisbury;Salisbury;Salisbury;Salisbury;Salisbury;Селсбури;;;X;
PROV1126;Buйa;Buйa;Buйa;Buйa;Buйa;Buйa;Buйa;Буэйя;;;X;
PROV1127;Kolwezi;Kolwezi;Kolwezi;Kolwezi;Kolwezi;Kolwezi;Kolwezi;Колвези;;;X;
PROV1128;Kasama;Kasama;Kasama;Kasama;Kasama;Kasama;Kasama;Касама;;;X;
PROV1129;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Лусака;;;X;
PROV1130;Beira;Beira;Beira;Beira;Beira;Beira;Beira;Бейра;;;X;
PROV1131;Muchena;Muchena;Muchena;Muchena;Muchena;Muchena;Muchena;Мучена;;;X;
PROV1132;Blantyre;Blantyre;Blantyre;Blantyre;Blantyre;Blantyre;Blantyre;Блантир;;;X;
PROV1133;Nampula;Nampula;Nampula;Nampula;Nampula;Nampula;Nampula;Нампула;;;X;
PROV1134;Tananarive;Tananarive;Tananarive;Tananarive;Tananarive;Tananarive;Tananarive;Антананариву;;;X;
PROV1135;Saint Denis de la Rйunion;Saint Denis de la Rйunion;Saint Denis de la Rйunion;Saint Denis de la Rйunion;Saint Denis de la Rйunion;Saint Denis de la Rйunion;Saint Denis de la Rйunion;Сен Дени де ла Реюньон;;;X;
PROV1136;Port Louis;Port Louis;Port Louis;Port Louis;Port Louis;Port Louis;Port Louis;Порт Луи;;;X;
PROV1137;Toamasina;Toamasina;Toamasina;Toamasina;Toamasina;Toamasina;Toamasina;Туамасина;;;X;
PROV1138;Porto Amйlia;Porto Amйlia;Porto Amйlia;Porto Amйlia;Porto Amйlia;Porto Amйlia;Porto Amйlia;Порто Амелия;;;X;
PROV1139;Mbeya;Mbeya;Mbeya;Mbeya;Mbeya;Mbeya;Mbeya;Мбейя;;;X;
PROV1140;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;Dar es Salaam;Дар эс Салам;;;X;
PROV1141;Morogoro;Morogoro;Morogoro;Morogoro;Morogoro;Morogoro;Morogoro;Морогоро;;;X;
PROV1142;Kikwit;Kikwit;Kikwit;Kikwit;Kikwit;Kikwit;Kikwit;Киквит;;;X;
PROV1143;Bakwanga;Bakwanga;Bakwanga;Bakwanga;Bakwanga;Bakwanga;Bakwanga;Бакванга;;;X;
PROV1144;Йlisabethville;Йlisabethville;Йlisabethville;Йlisabethville;Йlisabethville;Йlisabethville;Йlisabethville;Элизабетвилль;;;X;
PROV1145;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Maiduguri;Майдугури;;;X;
PROV1146;Praia;Praia;Praia;Praia;Praia;Praia;Praia;Прая;;;X;
PROV1147;Georgetown - Ascension;Georgetown - Ascension;Georgetown - Ascension;Georgetown - Ascension;Georgetown - Ascension;Georgetown - Ascension;Georgetown - Ascension;Джорджтаун Асунсьон;;;X;
PROV1148;Jamestown - Saint Helena;Jamestown - Saint Helena;Jamestown - Saint Helena;Jamestown - Saint Helena;Jamestown - Saint Helena;Jamestown - Saint Helena;Jamestown - Saint Helena;Джеймстаун Сен Хелена;;;X;
PROV1149;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;Tskhinvali;Цхинвали;;;X;
PROV1150;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;Sterlitamak;Стерлитамак;;;X;
PROV1151;Elista;Elista;Elista;Elista;Elista;Elista;Elista;Элиста;;;X;
PROV1152;Dnipropetrovs'k;Dnipropetrovs'k;Dnipropetrovs'k;Dnipropetrovs'k;Dnipropetrovs'k;Dnipropetrovs'k;Dnipropetrovs'k;Днепропетровск;;;X;
PROV1153;Barysau;Barysau;Barysau;Barysau;Barysau;Barysau;Barysau;Баруся;;;X;
PROV1154;Uman';Uman';Uman';Uman';Uman';Uman';Uman';Умань;;;X;
PROV1155;Himki;Himki;Himki;Himki;Himki;Himki;Himki;Химки;;;X;
PROV1156;Vel'sk;Vel'sk;Vel'sk;Vel'sk;Vel'sk;Vel'sk;Vel'sk;Вельск;;;X;
PROV1157;Cбdiz;Cбdiz;Cбdiz;Cбdiz;Cбdiz;Cбdiz;Cбdiz;Кадис;;;X;
PROV1158;Eskisehir;Eskisehir;Eskisehir;Eskisehir;Eskisehir;Eskisehir;Eskisehir;Эскисехир;;;X;
PROV1159;Antakya;Antakya;Antakya;Antakya;Antakya;Antakya;Antakya;Антакья;;;X;
PROV1160;Truro;Truro;Truro;Truro;Truro;Truro;Truro;Труро;;;X;
PROV1161;Albacete;Albacete;Albacete;Albacete;Albacete;Albacete;Albacete;Альбасете;;;X;
PROV1162;Cuenca;Cuenca;Cuenca;Cuenca;Cuenca;Cuenca;Cuenca;Куэнка;;;X;
PROV1163;Йvora;Йvora;Йvora;Йvora;Йvora;Йvora;Йvora;Эвора;;;X;
PROV1164;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Линкольн;;;X;
PROV1165;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;Лервик;;;X;
PROV1166;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Эдинбург;;;X;
PROV1167;Magadan;Magadan;Magadan;Magadan;Magadan;Magadan;Magadan;Магадан;;;X;
PROV1168;Pirot;Pirot;Pirot;Pirot;Pirot;Pirot;Pirot;Пирот;;;X;
PROV1169;Tetovo;Tetovo;Tetovo;Tetovo;Tetovo;Tetovo;Tetovo;Тетово;;;X;
PROV1170;Novo-Mariinsk;Novo-Mariinsk;Novo-Mariinsk;Novo-Mariinsk;Novo-Mariinsk;Novo-Mariinsk;Novo-Mariinsk;Ново-Марьинск;;;X;
PROV1171;Palana;Palana;Palana;Palana;Palana;Palana;Palana;Палана;;;X;
PROV1172;Petropavlovsk-Kamcatskij;Petropavlovsk-Kamcatskij;Petropavlovsk-Kamcatskij;Petropavlovsk-Kamcatskij;Petropavlovsk-Kamcatskij;Petropavlovsk-Kamcatskij;Petropavlovsk-Kamcatskij;Петропавловск- Камчатский;;;X;
PROV1173;Cernauti;Cernauti;Cernauti;Cernauti;Cernauti;Cernauti;Cernauti;Черновцы;;;X;
PROV1174;Kobe-shi;Kobe-shi;Kobe-shi;Kobe-shi;Kobe-shi;Kobe-shi;Kobe-shi;Кобе;;;X;
PROV1175;Lesozavodsk;Lesozavodsk;Lesozavodsk;Lesozavodsk;Lesozavodsk;Lesozavodsk;Lesozavodsk;Лесозаводск;;;X;
PROV1176;Tojohara;Tojohara;Tojohara;Tojohara;Tojohara;Tojohara;Tojohara;Тойохара;;;X;
PROV1177;Shana;Shana;Shana;Shana;Shana;Shana;Shana;Сяна;;;X;
PROV1178;Kushiro-shi;Kushiro-shi;Kushiro-shi;Kushiro-shi;Kushiro-shi;Kushiro-shi;Kushiro-shi;Куширо;;;X;
PROV1179;Sapporo-shi;Sapporo-shi;Sapporo-shi;Sapporo-shi;Sapporo-shi;Sapporo-shi;Sapporo-shi;Саппоро;;;X;
PROV1180;Sendai-shi;Sendai-shi;Sendai-shi;Sendai-shi;Sendai-shi;Sendai-shi;Sendai-shi;Сендай;;;X;
PROV1181;Niigata-shi;Niigata-shi;Niigata-shi;Niigata-shi;Niigata-shi;Niigata-shi;Niigata-shi;Ниигата;;;X;
PROV1182;Yokohama-shi;Yokohama-shi;Yokohama-shi;Yokohama-shi;Yokohama-shi;Yokohama-shi;Yokohama-shi;Иокогама;;;X;
PROV1183;Kanazawa-shi;Kanazawa-shi;Kanazawa-shi;Kanazawa-shi;Kanazawa-shi;Kanazawa-shi;Kanazawa-shi;Канадзава;;;X;
PROV1184;Tokyo-shi;Tokyo-shi;Tokyo-shi;Tokyo-shi;Tokyo-shi;Tokyo-shi;Tokyo-shi;Токио;;;X;
PROV1185;Nagoya-shi;Nagoya-shi;Nagoya-shi;Nagoya-shi;Nagoya-shi;Nagoya-shi;Nagoya-shi;Нагоя;;;X;
PROV1186;Kyoto-shi;Kyoto-shi;Kyoto-shi;Kyoto-shi;Kyoto-shi;Kyoto-shi;Kyoto-shi;Киото;;;X;
PROV1187;Osaka-shi;Osaka-shi;Osaka-shi;Osaka-shi;Osaka-shi;Osaka-shi;Osaka-shi;Осака;;;X;
PROV1188;Hiroshima-shi;Hiroshima-shi;Hiroshima-shi;Hiroshima-shi;Hiroshima-shi;Hiroshima-shi;Hiroshima-shi;Хиросима;;;X;
PROV1189;Matsuyama-shi;Matsuyama-shi;Matsuyama-shi;Matsuyama-shi;Matsuyama-shi;Matsuyama-shi;Matsuyama-shi;Мацуяма;;;X;
PROV1190;Fukuoka-shi;Fukuoka-shi;Fukuoka-shi;Fukuoka-shi;Fukuoka-shi;Fukuoka-shi;Fukuoka-shi;Фукуока;;;X;
PROV1191;Kagoshima-shi;Kagoshima-shi;Kagoshima-shi;Kagoshima-shi;Kagoshima-shi;Kagoshima-shi;Kagoshima-shi;Кагосима;;;X;
PROV1192;Naze-shi;Naze-shi;Naze-shi;Naze-shi;Naze-shi;Naze-shi;Naze-shi;Назе;;;X;
PROV1193;Naha-shi;Naha-shi;Naha-shi;Naha-shi;Naha-shi;Naha-shi;Naha-shi;Наха;;;X;
PROV1194;Jeju;Jeju;Jeju;Jeju;Jeju;Jeju;Jeju;Джею;;;X;
PROV1195;Gwangju;Gwangju;Gwangju;Gwangju;Gwangju;Gwangju;Gwangju;Гванжу;;;X;
PROV1196;Daegu;Daegu;Daegu;Daegu;Daegu;Daegu;Daegu;Дэгу;;;X;
PROV1197;Busan;Busan;Busan;Busan;Busan;Busan;Busan;Пусан;;;X;
PROV1198;Chuncheon;Chuncheon;Chuncheon;Chuncheon;Chuncheon;Chuncheon;Chuncheon;Чунчен;;;X;
PROV1199;Seoul;Seoul;Seoul;Seoul;Seoul;Seoul;Seoul;Сеул;;;X;
PROV1200;Wonsan;Wonsan;Wonsan;Wonsan;Wonsan;Wonsan;Wonsan;Вонсан;;;X;
PROV1201;Pyeongyang;Pyeongyang;Pyeongyang;Pyeongyang;Pyeongyang;Pyeongyang;Pyeongyang;Пхеньян;;;X;
PROV1202;Dalian;Dalian;Dalian;Dalian;Dalian;Dalian;Dalian;Далянь;;;X;
